Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
693,-48,2,8467.719595,46,8,,
694,-48,14,33950.501647,59,24,,
695,-53,1,670.708509,41,7,,
696,-52,4,13649.551255,60,14,,
697,-52,4,5058.38319,58,10,,
698,-54,2,538.007473,48,8,,
699,-51,1,1291.445806,47,7,,
700,-51,2,11118.864276,58,10,,
701,-49,1,1740.98772,46,7,,
702,-49,11,25927.393352,56,20,,
703,-58,1,519.794405,50,7,,
704,-48,4,27123.668629,60,14,,
705,-55,0,566.062039,42,6,,
706,-55,0,434.34374,42,6,,
707,-54,7,8563.018139,56,16,,
708,-53,1,389.774347,43,7,,
709,-54,0,481.60146,41,6,,
710,-50,4,8949.517266,48,12,,
711,-51,4,6513.353942,42,9,,
712,-45,3,8422.635217,47,11,,
713,-54,0,445.029038,41,6,,
714,-55,0,417.344906,42,6,,
715,-52,3,2097.691884,56,11,,
716,-56,1,686.828995,47,8,,
717,-55,8,12401.532591,75,17,,
718,-34,5,19517.205087,76,15,,
719,-49,4,19834.504906,48,12,,
720,-55,7,23021.897986,57,16,,
721,-57,8,27747.189313,75,20,,
722,-46,5,7918.598885,69,12,,
723,-40,6,22555.050115,52,16,,
724,-52,4,10539.244866,49,12,,
725,-45,6,11492.867637,60,13,,
726,-49,7,18076.133009,47,15,,
727,-54,5,11097.113946,61,15,,
728,-53,4,8082.048695,52,11,,
729,-54,1,1048.08068,47,8,,
730,-46,11,43065.643526,47,17,,
731,-57,1,494.244755,50,7,,
732,-47,6,12057.716844,49,12,,
733,-51,8,29584.151052,55,17,,
734,-48,1,856.783499,47,8,,
735,-55,0,484.028032,43,6,,
736,-53,0,675.673567,40,6,,
737,-57,4,1598.703361,53,10,,
738,-53,3,5657.936331,45,10,,
739,-54,0,566.124221,41,6,,
740,-46,24,13819.667207,110,49,,
